ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue,ResultMeasure/MeasureUnitCode
1973-08-16,USGS-01614175,Total,
1973-08-16,USGS-01638890,Total,
1972-09-13,USGS-01555500,Total,0.0
1973-08-07,USGS-01555210,Total,
1972-11-15,USGS-01533205,Total,
1973-09-24,USGS-01534060,Total,
1973-08-16,USGS-01559920,Total,
1972-11-09,USGS-01563500,Total,0.0
1973-08-10,USGS-01565000,Total,
1973-08-10,USGS-01565515,Total,
1973-08-15,USGS-01566010,Total,
1973-07-08,USGS-01555210,Total,
1973-08-15,USGS-01567350,Total,
1972-10-02,USGS-01568200,Total,0.0
1973-08-14,USGS-01556010,Total,
1973-09-18,USGS-01573610,Total,10
1973-09-19,USGS-01576500,Total,
1973-08-14,USGS-01578320,Total,
1972-11-10,USGS-01564995,Total,0.0
1972-11-10,USGS-01565300,Total,0.0
1973-09-26,USGS-01565515,Total,
1972-11-13,USGS-01566010,Total,0.0
1973-08-15,USGS-01567000,Total,
1973-08-15,USGS-01568200,Total,
1973-08-14,USGS-01574000,Total,
2012-10-09,OREGONDEQ-24135-ORDEQ,Total,1.17
2012-06-05,OREGONDEQ-33093-ORDEQ,Total,0.75
2012-10-08,OREGONDEQ-37118-ORDEQ,Total,0.45
2012-10-22,OREGONDEQ-10696-ORDEQ,Total,0.17
2012-10-22,OREGONDEQ-10517-ORDEQ,Total,1.3
2012-06-05,OREGONDEQ-32494-ORDEQ,Total,0.95
2012-06-04,OREGONDEQ-10689-ORDEQ,Total,0.25
2012-06-04,OREGONDEQ-10696-ORDEQ,Total,0.15
2012-06-04,OREGONDEQ-37106-ORDEQ,Total,0.25
2012-10-22,OREGONDEQ-10506-ORDEQ,Total,0.9
2012-11-26,OREGONDEQ-37091-ORDEQ,Total,0.18
2012-10-22,OREGONDEQ-10689-ORDEQ,Total,0.18
2012-06-17,OREGONDEQ-36787-ORDEQ,Total,0.79
2012-11-26,OREGONDEQ-11025-ORDEQ,Total,<0.02
2012-10-23,OREGONDEQ-12561-ORDEQ,Total,0.74
2012-06-04,OREGONDEQ-10696-ORDEQ,Total,0.14
1973-08-14,USGS-01574520,Total,
1973-09-19,USGS-01576600,Total,
1973-09-19,USGS-01576789,Total,
1973-08-16,USGS-01614170,Total,
1973-08-16,USGS-01618950,Total,
1973-09-24,USGS-01446990,Total,
1973-09-20,USGS-01452000,Total,
