date,locationID,InAsMeas,InAsVal,year,month,lat,lon,state
9/18/73,USGS-01573610,Total,10,1973,9,40.1912032,-76.7308027,42
10/9/12,OREGONDEQ-24135-ORDEQ,Total,1.17,2012,10,44.79807255,-118.4725053,41
10/9/12,OREGONDEQ-24135-ORDEQ,Total,1.2,2012,10,44.79807255,-118.4725053,41
6/5/12,OREGONDEQ-33093-ORDEQ,Total,0.75,2012,6,44.3560024,-120.489612,41
10/8/12,OREGONDEQ-37118-ORDEQ,Total,0.45,2012,10,44.835128,-119.0281881,41
10/22/12,OREGONDEQ-10696-ORDEQ,Total,0.17,2012,10,43.82054348,-121.4513158,41
6/4/12,OREGONDEQ-10696-ORDEQ,Total,0.15,2012,6,43.82054348,-121.4513158,41
6/4/12,OREGONDEQ-10696-ORDEQ,Total,0.14,2012,6,43.82054348,-121.4513158,41
10/22/12,OREGONDEQ-10517-ORDEQ,Total,1.3,2012,10,44.34864903,-121.0816256,41
1/26/15,OREGONDEQ-10517-ORDEQ,Total,0.9,2015,1,44.34864903,-121.0816256,41
5/11/15,OREGONDEQ-10517-ORDEQ,Total,1.11,2015,5,44.34864903,-121.0816256,41
8/31/15,OREGONDEQ-10517-ORDEQ,Total,1.34,2015,8,44.34864903,-121.0816256,41
9/15/14,OREGONDEQ-10517-ORDEQ,Total,1.52,2014,9,44.34864903,-121.0816256,41
6/5/12,OREGONDEQ-32494-ORDEQ,Total,0.95,2012,6,44.33694451,-120.9269429,41
6/4/12,OREGONDEQ-10689-ORDEQ,Total,0.25,2012,6,43.68612582,-121.68725,41
10/22/12,OREGONDEQ-10689-ORDEQ,Total,0.18,2012,10,43.68612582,-121.68725,41
6/4/12,OREGONDEQ-37106-ORDEQ,Total,0.25,2012,6,44.03196753,-121.5208562,41
10/23/12,OREGONDEQ-37106-ORDEQ,Total,0.67,2012,10,44.03196753,-121.5208562,41
10/22/12,OREGONDEQ-10506-ORDEQ,Total,0.9,2012,10,44.76138,-121.2286117,41
6/4/12,OREGONDEQ-10506-ORDEQ,Total,0.9,2012,6,44.76138,-121.2286117,41
1/26/15,OREGONDEQ-10506-ORDEQ,Total,1.26,2015,1,44.76138,-121.2286117,41
8/31/15,OREGONDEQ-10506-ORDEQ,Total,1.17,2015,8,44.76138,-121.2286117,41
5/11/15,OREGONDEQ-10506-ORDEQ,Total,0.95,2015,5,44.76138,-121.2286117,41
9/15/14,OREGONDEQ-10506-ORDEQ,Total,1.26,2014,9,44.76138,-121.2286117,41
11/26/12,OREGONDEQ-37091-ORDEQ,Total,0.18,2012,11,45.51261313,-122.3985427,41
6/17/12,OREGONDEQ-36787-ORDEQ,Total,0.79,2012,6,45.57642731,-120.4015188,41
